line,sentence,word,sLength,frequency,logFrequency,author,title,year
1,Nanetto va cognosser Val Véneta.,nanetto,5,47,3.8501476017100584,baldissera,nanetto_in_val_veneta,2003
1,Nanetto va cognosser Val Véneta.,va,5,23,3.1354942159291497,baldissera,nanetto_in_val_veneta,2003
1,Nanetto va cognosser Val Véneta.,cognosser,5,2,0.6931471805599453,baldissera,nanetto_in_val_veneta,2003
1,Nanetto va cognosser Val Véneta.,val,5,18,2.8903717578961645,baldissera,nanetto_in_val_veneta,2003
1,Nanetto va cognosser Val Véneta.,véneta,5,17,2.833213344056216,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",nanetto,14,47,3.8501476017100584,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",el,14,911,6.814542897259958,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",ga,14,362,5.8916442118257715,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",sentio,14,5,1.6094379124341003,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",dir,14,23,3.1354942159291497,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",tante,14,5,1.6094379124341003,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",stòrie,14,4,1.3862943611198906,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",su,14,55,4.007333185232471,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",val,14,18,2.8903717578961645,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",véneta,14,17,2.833213344056216,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",che'l,14,108,4.68213122712422,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",ga,14,362,5.8916442118257715,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",volesto,14,7,1.9459101490553132,baldissera,nanetto_in_val_veneta,2003
2,"Nanetto el ga sentio dir tante stòrie su Val Véneta, che'l ga volesto cognósserla.",cognósserla,14,1,0,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",i,13,628,6.4425401664681985,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",disea,13,13,2.5649493574615367,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",che'l,13,108,4.68213122712422,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",ze,13,239,5.476463551931511,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",un,13,283,5.645446897643238,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",bel,13,13,2.5649493574615367,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",paese,13,14,2.6390573296152584,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",fondà,13,1,0,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",da,13,64,4.1588830833596715,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",imigranti,13,6,1.791759469228055,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",véneti,13,2,0.6931471805599453,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",e,13,730,6.593044534142437,baldissera,nanetto_in_val_veneta,2003
3,"I disea che'l ze un bel paese, fondà da imigranti véneti e furlani;",furlani;,13,1,0,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,che'l,11,108,4.68213122712422,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,ga,11,362,5.8916442118257715,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,fato,11,36,3.58351893845611,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,parte,11,6,1.791759469228055,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,dea,11,32,3.4657359027997265,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,quarta,11,2,0.6931471805599453,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,colònia,11,4,1.3862943611198906,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,imperiale,11,1,0,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,de,11,683,6.52649485957079,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,silveira,11,2,0.6931471805599453,baldissera,nanetto_in_val_veneta,2003
4,che'l ga fato parte dea Quarta Colònia Imperiale de Silveira Martins;,martins;,11,1,0,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,che'l,12,108,4.68213122712422,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,ze,12,239,5.476463551931511,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,la,12,683,6.52649485957079,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,cuna,12,2,0.6931471805599453,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,dei,12,22,3.091042453358316,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,preti,12,11,2.3978952727983707,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,palotini,12,7,1.9459101490553132,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,in,12,236,5.4638318050256105,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,brasile,12,5,1.6094379124341003,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,e,12,730,6.593044534142437,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,in,12,236,5.4638318050256105,baldissera,nanetto_in_val_veneta,2003
5,che'l ze la cuna dei preti Palotini in Brasile e in Mèrica;,mèrica;,12,1,0,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",che'l,16,108,4.68213122712422,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",ga,16,362,5.8916442118257715,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",na,16,212,5.356586274672012,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",bela,16,10,2.302585092994046,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",cesa,16,8,2.0794415416798357,baldissera,nanetto_in_val_veneta,2003
6,"che'l ga na bela cesa, fata con donassioni del pòpolo e de na rica condessa inglesa;",fata,16,5,1.6094379124341003,baldissera,nanetto_in_val_veneta,2003
